	s8r1	s3r1	s8	G2	G1	s3	s2	s1	s1r1	s7	s6	s5	s4	A1	A2	C2	C1	E1	E2	s6r1	s5r1	s7r1	F1	F2	H2	s4r1	H1	s2r1	B1	B2	D2	D1
s5r1	0.185642897086	0.206670500687	0.159245632483	0.216877432397	0.230389763989	0.205948722488	0.204874485941	0.274900747354	0.213841922799	0.173345558022	0.201610015131	0.113902906233	0.243632107615	0.236206268737	0.230178480529	0.201125405285	0.230982136541	0.162654592371	0.168256201827	0.196856993237	0.0	0.175870179381	0.205261239693	0.213213819011	0.217837740699	0.177033198425	0.20403166883	0.201472052606	0.177220283108	0.2214988654	0.258877169581	0.234194095125
s7r1	0.175858629176	0.255420687246	0.199586026025	0.286221407823	0.304894038457	0.273380981472	0.245141037734	0.246991842397	0.229109314146	0.157894043783	0.17749681611	0.19353637959	0.255174193756	0.261992729631	0.290876035021	0.177124748168	0.302131256046	0.161860267013	0.244788329042	0.175943133225	0.175870179381	0.0	0.192866347781	0.234661536112	0.178967722287	0.222721858889	0.220225923119	0.234194241669	0.198031736653	0.235941073224	0.27662793403	0.295597294137
F1	0.165352018182	0.267575950474	0.181834553132	0.240755112336	0.293094472927	0.274158234486	0.247645549971	0.302807933442	0.244120942084	0.161197596094	0.16079747913	0.215171096745	0.261640777274	0.296223800738	0.272051487356	0.169812682045	0.238068580398	0.157524305802	0.225814833908	0.175124313643	0.205261239693	0.192866347781	0.0	0.223212081449	0.161025186679	0.226862487183	0.158113017258	0.244874630696	0.154926445214	0.2140876892	0.246882646699	0.245971200931
F2	0.229678778694	0.216670773912	0.248070542892	0.183531444783	0.214412794489	0.22387259703	0.166241928261	0.229691472402	0.174784189185	0.192308266676	0.243879651286	0.233381311419	0.218667372107	0.235479311091	0.195434376568	0.206067769235	0.20071055601	0.193600330989	0.230706302584	0.258127860592	0.213213819011	0.234661536112	0.223212081449	0.0	0.222243229132	0.194777767594	0.212884575847	0.188550168182	0.190334136548	0.162697096555	0.19645088011	0.188026924576
H2	0.199725331723	0.287123051737	0.240959280652	0.259142360175	0.309393873653	0.305211882828	0.264536775697	0.288416591727	0.255992284067	0.151338916879	0.197086230593	0.23432465133	0.284539221804	0.295087121198	0.269660523505	0.11267925479	0.277401861106	0.145423279521	0.211134893403	0.205348810272	0.217837740699	0.178967722287	0.161025186679	0.222243229132	0.0	0.244593117935	0.16980800712	0.26711163007	0.176223701749	0.240256410042	0.238170734329	0.258610590182
s4r1	0.241907618481	0.196866830767	0.244014671923	0.185062504904	0.178812287267	0.195821630255	0.164683684226	0.258666801364	0.201934004297	0.199086181501	0.2430279184	0.195959766223	0.204433566681	0.262295580394	0.212621803333	0.226985458875	0.19677351002	0.202960071154	0.212638569198	0.21783971887	0.177033198425	0.222721858889	0.226862487183	0.194777767594	0.244593117935	0.0	0.21945869966	0.15129354157	0.221351388155	0.199638507535	0.178168407228	0.158023235115
H1	0.17914574809	0.278492740856	0.184088021121	0.239555434111	0.27399033004	0.283074498109	0.258885131727	0.323690104849	0.26420348513	0.160108206204	0.186407936314	0.207688092447	0.272560712597	0.308525702661	0.251880025752	0.159998936999	0.221201809745	0.139201284809	0.176954718784	0.224230271405	0.20403166883	0.220225923119	0.158113017258	0.212884575847	0.16980800712	0.21945869966	0.0	0.25635814799	0.138789409874	0.236070956846	0.25333606816	0.239265828382
s2r1	0.237666596168	0.174667675567	0.224190193373	0.201022767193	0.20331584112	0.16870767153	0.141932361015	0.229691828041	0.138687794545	0.223203704882	0.252345575921	0.209417663877	0.188635127059	0.227238503302	0.198563210644	0.264163395188	0.185902053291	0.220052190498	0.2547555241	0.207258680796	0.201472052606	0.234194241669	0.244874630696	0.188550168182	0.26711163007	0.15129354157	0.25635814799	0.0	0.226911547348	0.177312000014	0.18592861182	0.169531066486
B1	0.203232280151	0.264762099086	0.20278649072	0.213582644964	0.245866489565	0.259438671655	0.236815877522	0.311777024814	0.245325928202	0.132977449167	0.208397756109	0.200663711404	0.260392932376	0.266370621167	0.241938028895	0.157445021896	0.206581116242	0.112456006899	0.157509825084	0.220719126136	0.177220283108	0.198031736653	0.154926445214	0.190334136548	0.176223701749	0.221351388155	0.138789409874	0.226911547348	0.0	0.208114218424	0.251762876051	0.212740413868
B2	0.235016619526	0.207418840143	0.24654043468	0.197514485777	0.258718688176	0.215283548385	0.162552002633	0.253605619625	0.193312593798	0.237313783079	0.264320819429	0.220227695879	0.188445623607	0.252974262145	0.208904397633	0.223657235716	0.185051353589	0.218716172509	0.235010345969	0.250423537202	0.2214988654	0.235941073224	0.2140876892	0.162697096555	0.240256410042	0.199638507535	0.236070956846	0.177312000014	0.208114218424	0.0	0.170090277506	0.202062223254
D2	0.261674355377	0.210752559461	0.286835299506	0.199795925317	0.190573430106	0.235423054014	0.161637229423	0.271112686101	0.205579336009	0.260564417198	0.268769059309	0.246227971939	0.176535122172	0.274435819794	0.185009380023	0.247776250732	0.197338134846	0.244739088846	0.25213582707	0.283244932418	0.258877169581	0.27662793403	0.246882646699	0.19645088011	0.238170734329	0.178168407228	0.25333606816	0.18592861182	0.251762876051	0.170090277506	0.0	0.141790599536
D1	0.250807538041	0.187065685597	0.255129936213	0.151545429094	0.147698831087	0.178331250498	0.174873216804	0.273099140218	0.192630281965	0.219966600585	0.290018365077	0.235786989647	0.181997043369	0.250515969357	0.177656827048	0.250418943592	0.154377559125	0.227979633145	0.219172149303	0.254453360368	0.234194095125	0.295597294137	0.245971200931	0.188026924576	0.258610590182	0.158023235115	0.239265828382	0.169531066486	0.212740413868	0.202062223254	0.141790599536	0.0
