	s8r1	s3r1	s8	G2	G1	s3	s2	s1	s1r1	s7	s6	s5	s4	A1	A2	C2	C1	E1	E2	s6r1	s5r1	s7r1	F1	F2	H2	s4r1	H1	s2r1	B1	B2	D2	D1
s5r1	0.0958376485	0.171719312	0.101491683	0.210582568	0.3795658335	0.170998944	0.1213362515	0.166660321	0.1522883635	0.0712864555	0.1416239605	0.054482512	0.1420182845	0.5431793585	0.309496813	0.1561083955	0.236885353	0.1912687985	0.1276178995	0.0849571105	0.0	0.0816031765	0.194025735	0.2478113485	0.1066004675	0.086028013	0.211884921	0.097918409	0.2021727015	0.2698044515	0.206857848	0.185619177
s7r1	0.130040851	0.2021321575	0.1354972185	0.2396690175	0.407748457	0.2012739835	0.145217713	0.1550827965	0.166647454	0.073003587	0.125209027	0.0820965945	0.113756755	0.574648158	0.3432291835	0.151527574	0.2597991155	0.202347838	0.182247193	0.11238147	0.0816031765	0.0	0.2218307465	0.25265354	0.10225722	0.0796712435	0.2392053065	0.1162265015	0.21120921	0.276885391	0.2305435995	0.2202951285
F1	0.1444746165	0.203108067	0.135986946	0.198192606	0.3483071985	0.21156138	0.1955012955	0.288300481	0.1778867955	0.1992611185	0.1908816735	0.209354135	0.2588989095	0.4978470255	0.289828167	0.1381165265	0.233669346	0.1499653395	0.1359795325	0.1416710775	0.194025735	0.2218307465	0.0	0.1581743405	0.1461339015	0.238520251	0.083877357	0.211603601	0.1568094035	0.1792337195	0.155296632	0.170949475
F2	0.243254521	0.1965367115	0.2408716765	0.1599148815	0.271614087	0.2158035055	0.191623996	0.2716288905	0.14228027	0.231914219	0.281305139	0.2697914815	0.240955312	0.433384407	0.2349386875	0.122401577	0.2090604775	0.142741701	0.18159126	0.236977667	0.2478113485	0.25265354	0.1581743405	0.0	0.173800086	0.2548728055	0.1745689505	0.2001838245	0.134929226	0.076529055	0.0735915105	0.1277228595
H2	0.127756711	0.1695451985	0.1268680095	0.1729725985	0.339948344	0.1724139765	0.106075987	0.2006264705	0.103924614	0.076965522	0.177393934	0.1366926745	0.169743868	0.510725163	0.2788353335	0.069067314	0.2170887875	0.12654239	0.112305715	0.119240314	0.1066004675	0.10225722	0.1461339015	0.173800086	0.0	0.1425508075	0.1632985605	0.1108482705	0.136450394	0.193928274	0.1483214495	0.1482646625
s4r1	0.1277693795	0.187940232	0.132951737	0.228633043	0.4078268825	0.178168374	0.1290559865	0.136985689	0.1569561425	0.1153888605	0.1269223855	0.071781418	0.0840907775	0.5771002275	0.341918652	0.1961250685	0.261086704	0.2432891325	0.1982487445	0.1134179435	0.086028013	0.0796712435	0.238520251	0.2548728055	0.1425508075	0.0	0.254790036	0.103601808	0.2537633745	0.2838452535	0.22529626	0.202103953
H1	0.1501343675	0.211352502	0.140889303	0.171517105	0.3278934995	0.2230746	0.2108481435	0.315849344	0.2038027645	0.2162618135	0.2363676465	0.228062341	0.2803930135	0.4851583295	0.274321351	0.1732417295	0.20731967	0.1491740255	0.1473995515	0.1809802665	0.211884921	0.2392053065	0.083877357	0.1745689505	0.1632985605	0.254790036	0.0	0.226271481	0.1535840135	0.1752019595	0.183795111	0.183241428
s2r1	0.1176939405	0.148361231	0.125503375	0.182097406	0.3589875655	0.154862908	0.0526855305	0.171189825	0.1081595665	0.0842434165	0.1637241065	0.128755559	0.1173942575	0.5362523165	0.296637285	0.1620237565	0.209141304	0.2001174665	0.1790592045	0.1100396015	0.097918409	0.1162265015	0.211603601	0.2001838245	0.1108482705	0.103601808	0.226271481	0.0	0.2100000195	0.2199493945	0.182285715	0.160144836
B1	0.250037856	0.1556350335	0.2484609135	0.1072708255	0.237867129	0.1790981535	0.187829871	0.2918601765	0.19073659	0.168918203	0.300345766	0.2436271345	0.283044296	0.407786211	0.1846858765	0.115806105	0.1482423295	0.031833987	0.109086675	0.232827641	0.2021727015	0.21120921	0.1568094035	0.134929226	0.136450394	0.2537633745	0.1535840135	0.2100000195	0.0	0.127016773	0.1203406685	0.1172925825
B2	0.263249701	0.2163811245	0.2616776365	0.1634183925	0.268039706	0.2367402345	0.206797136	0.3252717055	0.189680885	0.251648573	0.312215934	0.2959926805	0.284358078	0.424305147	0.2357439985	0.147574247	0.1843033995	0.145243855	0.201122942	0.257240433	0.2698044515	0.276885391	0.1792337195	0.076529055	0.193928274	0.2838452535	0.1752019595	0.2199493945	0.127016773	0.0	0.1173995075	0.1718954955
D2	0.2308589405	0.140294001	0.22898558	0.130729071	0.2503332965	0.167214876	0.1709466475	0.219291282	0.1146123385	0.2003573185	0.2812855965	0.233259338	0.2058070925	0.4259509115	0.212894286	0.1025087405	0.197763951	0.1258797595	0.1443224065	0.2237330225	0.206857848	0.2305435995	0.155296632	0.0735915105	0.1483214495	0.22529626	0.183795111	0.182285715	0.1203406685	0.1173995075	0.0	0.069233937
D1	0.2334468515	0.092554152	0.231469482	0.080659368	0.2187184165	0.120369659	0.1325148505	0.208585244	0.1171348575	0.1724860225	0.2879328355	0.22183492	0.2023743585	0.4026288095	0.158872027	0.1548227985	0.15018003	0.1080812795	0.1160154155	0.2236636635	0.185619177	0.2202951285	0.170949475	0.1277228595	0.1482646625	0.202103953	0.183241428	0.160144836	0.1172925825	0.1718954955	0.069233937	0.0
