	sequences per sample	iteration	A1	A2	B1	B2	C1	C2	D1	D2	E1	E2	F1	F2	G1	G2	H1	H2	s1r1	s1	s2r1	s2	s3r1	s3	s4r1	s4	s5r1	s5	s6r1	s6	s7r1	s7	s8r1	s8
alpha_rarefaction_6007_7.txt	6007	7	15.51499	19.19222	19.494	18.43145	19.23935	17.08968	18.16702	17.24679	19.21343	18.28111	18.27469	17.27173	17.43149	19.16401	17.54477	17.99111	17.34219	15.26659	17.90808	18.90448	18.0716	18.33591	19.50042	16.32978	18.42759	16.79097	17.05696	16.71027	18.02289	18.93833	17.14813	17.36507
alpha_rarefaction_6007_8.txt	6007	8	16.5111	18.60021	19.03492	17.91723	19.71166	18.04119	18.73737	18.69057	19.29422	18.72872	17.97044	17.15888	17.89242	19.31858	17.77212	17.73557	17.59209	14.90677	18.3497	19.33041	18.41862	18.44955	19.49389	16.44349	17.97791	17.28521	17.77672	16.34029	17.41579	17.98524	16.93423	17.15804
alpha_rarefaction_6007_9.txt	6007	9	16.21066	18.46476	19.66975	18.0119	19.81239	17.85873	19.22913	18.18284	18.6669	18.01846	17.81563	17.3847	18.6135	19.05401	17.85878	17.99292	17.72474	14.72902	17.6789	19.0206	17.86243	18.43875	19.09732	16.67689	18.27898	17.9098	17.1171	16.68442	18.04599	17.90264	17.09809	17.16444
alpha_rarefaction_8006_0.txt	8006	0	16.71073	19.53126	20.00721	19.3537	20.29971	18.48447	20.10382	19.82669	19.7223	19.81062	18.35424	18.64928	19.1911	19.82465	18.53658	18.61861	17.88037	15.86199	19.35514	19.44221	18.52135	19.04226	20.43183	16.50724	19.06735	18.66671	18.06951	17.17145	17.50045	17.96	18.08715	18.00757
alpha_rarefaction_8006_1.txt	8006	1	17.22962	18.71746	20.6318	18.47878	20.13587	18.77875	20.10654	19.10889	20.73063	19.43313	18.01815	17.69603	18.83171	19.96854	18.02299	18.80779	18.15839	15.07502	18.16007	19.97432	18.59978	19.93063	19.79797	17.99092	19.41015	17.75839	17.73282	17.25568	18.09689	19.60521	17.98277	18.30403
alpha_rarefaction_8006_2.txt	8006	2	17.03783	19.05213	20.0196	19.16507	20.84806	18.69063	20.074	18.68563	19.28334	19.12806	18.16019	18.40585	18.99903	19.77034	18.88972	19.01182	17.97892	16.05971	18.91507	19.03926	18.39659	19.23004	19.78845	17.70102	18.54572	18.65645	17.46078	17.02825	18.37734	18.97576	18.07931	17.77422
alpha_rarefaction_8006_3.txt	8006	3	16.82612	19.61912	19.94894	18.42138	20.57723	18.46559	19.64866	19.24481	19.46286	19.60498	18.28688	17.35447	19.28455	19.56567	18.81029	18.82359	18.22742	16.26708	19.09588	19.70067	18.73503	19.09449	20.02688	17.27791	19.26622	19.18119	17.61502	17.09602	18.41221	19.61257	17.89391	17.77412
alpha_rarefaction_8006_4.txt	8006	4	16.92155	19.42185	20.21123	19.46655	20.56451	18.7428	19.6608	19.58266	19.62616	18.53831	18.20117	18.54575	18.97818	20.4729	18.88927	17.51152	18.15101	16.07616	18.75493	19.71065	18.58681	19.21514	20.01692	17.01222	19.38378	18.56618	18.27292	17.01284	18.12105	18.87366	17.75535	17.61114
alpha_rarefaction_8006_5.txt	8006	5	16.60925	19.58805	20.4427	19.21975	21.12901	18.87605	19.97552	18.80629	19.33664	18.30383	17.31817	17.60793	18.82939	19.86928	18.54856	18.88749	18.54342	15.42254	18.03232	19.74277	19.16507	19.20113	20.2641	17.27161	19.26642	18.08733	18.11043	16.86311	17.89135	19.6337	17.76491	18.158
alpha_rarefaction_8006_6.txt	8006	6	16.69244	19.24938	20.90169	19.27113	20.4346	18.8533	20.64942	18.75541	20.36007	18.53964	17.83808	17.84972	19.49513	19.2336	19.21435	19.13828	17.93627	16.22306	18.3884	19.45912	19.0716	19.31984	19.86821	17.88279	18.90175	17.88724	17.71308	17.50964	17.93841	18.88347	18.12401	18.37616
